RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
0.93,3.75,5.62,7.95,10.1,12.25,14.68,16.32,17.73,18.97,20.1,22.45,24.07,25.72,27.27,28.55,29.63,30.73,32.33,41.82,250.401152
0.48,2.17,4.5,6.27,8.53,10.57,12.8,15.47,18.15,20.1,21.97,23.58,24.73,25.85,26.87,27.93,29.05,30.42,32.27,42.28,299.1158618
0.75,3.35,5.01,7.09,6.73,7.92,9.18,10.92,12.65,14.33,16.07,17.7,19.02,20.25,21.5,22.85,24.47,26.53,28.65,39.2,192.8330599
1.76,4.08,6.6,6.8,6.9,8.25,7.53,8.77,9.83,10.95,12.25,13.98,15.62,17.53,19.25,20.87,22.58,24.48,27.43,42.12,140.4525922
4.95,2.65,3.9,3.83,4.76,4.53,3.39,4.18,6.17,7.95,9.65,11.2,14,16.85,18.65,20.68,22.77,24.37,26.03,35.73,139.2172725
0.1,2.3,4,6.73,9.78,12.45,14.28,15.68,16.97,18.13,19.15,20.27,21.35,22.33,23.23,24.12,25.17,26.55,29.35,37.8,244.118471
1.35,4.2,2.91,4.12,6.32,8.21,8.07,9.23,10.22,11.22,12.3,13.5,14.65,15.9,17.12,18.47,19.95,21.62,24.6,37.52,196.5777331
0,0.75,1.18,2.48,3.98,5.62,6.28,7.63,9.35,11.37,13.55,15.2,16.5,17.63,18.97,20.68,22,23.38,25.22,37.43,201.9577075
0,0,0.8,1.23,1.61,2.21,3.09,4.01,4.52,5.62,6.82,8.18,9.38,10.58,11.92,13.27,14.5,16.32,19.17,30.32,109.5164363
0,0.25,1.39,2.78,2.83,3.19,3.88,4.88,5.88,6.95,8.08,9.3,10.4,11.53,12.63,13.87,15.33,17.33,20.1,31.1,90.42047
0.71,2.12,4.53,7.23,9.5,11.57,13.42,15.2,16.83,18.42,20.05,21.43,22.8,24,25.22,26.57,27.8,29.12,30.73,39.43,164.253489
1.57,3.66,5.76,7.42,9.11,9.6,10.93,12.17,13.47,14.93,16.7,18.53,20.03,21.57,23.23,25.4,27.55,30.65,33.1,42.3,204.6963168
2.07,4.84,6.81,8.94,9.68,11.3,12.78,14.23,15.53,16.67,17.68,18.67,19.65,20.6,21.73,23.63,25.57,27.75,29.7,38.12,277.2929975
1.12,3.3,6.27,9.3,11.77,13.82,15.57,16.98,18.3,19.77,21.05,22.3,23.47,24.5,25.58,26.67,27.87,29.08,30.65,40.82,256.0584363
2.82,6.9,8.53,11.65,14.1,16.15,17.98,19.65,21.3,22.7,23.95,25.1,26.3,27.45,28.68,29.98,31.6,33.25,35.02,45.75,267.776256
1.91,4.78,6.57,8.42,10.13,11.97,13.88,15.57,17.02,18.45,19.9,21.17,22.43,23.58,24.77,26.27,27.92,29.68,31.57,42.05,121.7738161
0.98,2.19,3.78,5.8,7.6,9.25,10.72,11.93,13,14.2,15.35,16.48,17.6,18.65,19.8,21.05,22.38,23.8,25.52,33.02,133.3260444
2.89,6.57,8.43,8.89,8.05,9.35,10.63,12.13,13.52,15.13,16.47,17.62,18.72,19.9,21.07,22.3,23.77,25.32,27.27,37.25,171.5416454
2.93,2.82,4.7,6.28,6.84,7.33,7.7,8.88,10.23,11.62,13,14.48,16.4,17.95,19.38,20.65,21.8,23.2,24.62,31.18,75.972048
0.6,1.65,2.35,2.73,4.22,5.65,7,8.35,10.03,11.15,12.18,13.2,14.38,15.6,17.35,19.23,21.02,22.52,24.45,35.58,52.3866703
1.05,4.58,4.24,6.71,9.38,11.06,12.3,13.5,14.81,16.01,17.29,18.56,19.54,20.51,21.45,22.42,23.59,24.9,26.62,36.15,89.6099798
0.65,2.59,4.76,6.94,7.32,9.3,9.68,11.22,12.43,13.97,15.7,17.1,18.4,19.45,20.38,21.2,22.05,23.15,25.38,33.8,56.97987675
1.8,4.48,7.35,10.07,9.5,11.03,12.65,14,15.25,16.58,17.87,19.05,20.27,21.33,22.25,23.08,24.02,25.28,26.88,39.15,193.5637694
1.26,3.49,6.38,8.13,10.17,12.03,13.67,15.05,16.43,17.65,18.68,19.72,20.85,21.93,23.02,24.13,25.67,27.7,29.68,39.65,156.7809024
4.42,7.74,10.1,14.12,16.6,18.27,19.92,21.47,22.82,24.03,25.22,26.48,27.72,28.9,30.07,31.28,32.47,33.87,36.35,47.8,434.5185608
3.8,8.85,14.07,18.23,20.8,23.32,25.33,27.27,28.77,30.15,31.4,32.5,33.7,34.93,36.45,38,39.43,41.68,43.68,51.32,400.8040922
1.8,5.42,9,11.6,13.38,14.95,16.6,17.92,19,19.95,20.9,21.98,23.27,24.42,25.4,26.35,27.45,28.9,30.68,40,294.3017125
1.83,6.48,10.4,13.7,16.33,18.18,19.47,20.57,21.53,22.43,23.42,24.27,25.1,25.9,26.7,27.57,28.57,29.7,31.07,41.08,223.134717
1.48,4.72,7.85,10.78,12.95,14.65,16.08,17.53,19.2,21.05,22.72,24.4,26.13,27.45,28.55,29.62,30.97,32.92,35.35,43.8,372.7069217
2.29,5.75,8.9,11.55,13.68,15.42,16.75,18.02,19.48,20.78,22.02,23,23.88,24.7,25.58,26.63,28.08,29.68,31.77,41.98,285.7298998
2.21,3.43,5.38,7.65,9.68,11.52,13.2,14.67,16.4,18.18,20.15,22.45,23.82,25.22,27.03,29.07,31.17,32.6,35.37,44.13,224.7101509
3.2,3.73,5.98,6.6,8.75,10.95,12.97,14.88,16.62,18.08,19.62,21.38,22.95,24.75,26.12,27.73,30.83,32.58,34.48,45.23,148.529889
2.34,5.81,8.48,11.97,14.55,16.45,17.98,19.05,20.05,21.08,22.1,23.12,24.17,25.1,26.18,27.53,29,30.65,32.18,40.42,250.2940043
3.15,3.93,4.8,5.9,7.6,9.67,11.68,13.72,15.6,17.52,19.53,21.25,22.72,24.02,25.13,26.37,27.72,29.23,31.48,41.48,206.7589505
0.59,2.49,3.77,3.94,4.32,5.24,5.49,5.59,6.35,6.72,6.27,6.06,6.62,7.07,7.92,8.94,9.98,11.27,13.64,24.92,82.1705193
0.6,2.05,3.54,4.59,5.2,5.22,6.02,5.8,5.98,6.32,6.62,6.66,7.32,8.12,8.92,9.76,10.96,12.42,14.48,25.71,98.9662549
0.62,1.77,3.48,4.97,6.18,6.99,7.89,8.51,9.25,10.21,11.09,11.9,12.74,13.62,14.55,15.77,16.87,18.14,19.89,27.89,124.3815344
0.93,2,3.31,4.21,5.16,5.67,6.4,7.25,8.01,8.81,9.56,10.44,11.32,12.23,13.01,14.05,15.23,16.82,19.37,28.61,137.5679773
0.97,3.03,4.53,6,6.82,7.79,8.59,9.42,10.17,10.98,11.61,12.35,13.08,13.85,14.51,15.43,16.51,17.82,19.43,28.36,156.9756702
2.23,4.71,6.96,8.83,10.32,11.29,12.37,13.45,14.39,14.96,15.87,16.75,17.4,18.35,19.24,20.15,21.17,22.39,24.01,31.62,190.0697039
2.06,3.92,5.55,7.34,8.79,9.98,10.95,12.07,12.54,13.52,14.5,15.49,16.41,17.31,18.24,19.19,20.24,21.34,23,31.78,189.128391
0.6,1.65,2.64,3.75,5.04,6,6.96,7.88,7.83,8.87,9.9,11,12.18,13.47,15.27,17.27,18.9,20.38,22.07,31.93,147.0701751
1.22,4.75,7.92,10.63,12.58,14.07,15.5,17.03,18.32,19.35,20.38,21.43,22.43,23.5,24.82,26.35,27.57,29.13,31.18,42.53,117.628938
1.47,5.45,8.7,11,12.6,13.97,15.15,16.28,17.52,18.68,19.73,20.63,21.52,22.42,23.38,24.45,25.32,26.28,27.6,37.3,264.8985757
1.92,5.98,9,11.33,13.02,14.5,15.83,17.02,18.15,19.42,20.48,21.55,22.57,23.57,24.42,25.3,26.4,27.7,29.45,38.07,312.8383322
1.95,4.6,6.17,8.01,8.46,9.66,10.71,10.5,11.4,12.3,13.22,14.13,15.12,16.27,17.98,19.87,21.35,23.02,25.15,34.67,137.0056284
2.17,5.21,8.47,4.93,6.3,8,9.85,12.85,14.77,16.28,17.78,19.03,19.98,20.95,22.07,23.45,25.1,26.78,28.78,38.43,476.1008675
0,0.6,1.58,2.22,3.09,3.9,4.72,5.93,7.05,8.23,9.47,10.82,12.32,13.63,14.72,15.8,17.02,18.38,20.15,30.18,87.9916905
3.42,7.44,8.5,8.85,10.33,11.72,11.68,13.28,14.61,16.01,15.23,16.18,17.08,18.08,19.42,20.58,21.92,23.42,25.28,34.87,221.7694123
0.9,1.71,2.62,3.72,4.14,4.97,5.12,6.06,6.22,6.97,7.72,8.53,9.58,10.8,12.17,13.98,16.4,19,23.48,35.63,106.7752732
0.3,0.88,1.63,2.75,3.73,4.57,5.37,6.03,6.62,7.17,7.75,8.3,8.88,9.7,10.73,12.25,13.38,15.2,17.17,30.67,188.530479
